filename,procdump,dropped,processes,files,read_files,write_files,delete_files,keys,read_keys,write_keys,delete_keys,executed_commands,resolved_apis,mutexes,started_services,hosts,domains,tcp,udp,icmp,http,dns,dead_hosts,signatures_count,ttps_count,status
56.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,4,0,0,0,1,0,benign
57.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
58.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
59.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
6.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,32,2,0,0,0,2,2,benign
60.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,4,0,0,0,2,2,benign
61.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
62.json,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,60,52,0,1,2,0,4,2,malicious
63.json,0,0,8,310,0,2,3,5395,4042,20,0,17,2,62,1,0,0,0,0,0,0,0,0,10,6,benign
64.json,0,0,1,12,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,malicious
65.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,74,1,0,0,0,2,2,benign
66.json,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,62,0,0,0,0,9,5,malicious
67.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,64,3,0,0,0,2,2,benign
68.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,54,1,0,0,0,2,2,benign
69.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,56,2,0,0,0,2,2,benign
7.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
70.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,17,2,2,benign
71.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,66,3,0,0,0,2,2,benign
72.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,12,0,1,1,0,3,3,benign
73.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,687,138,0,2,2,0,4,4,malicious
74.json,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,95,2,0,0,0,8,5,malicious
75.json,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,68,1,0,0,0,10,5,malicious
76.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,656,113,3,2,2,0,4,4,malicious
77.json,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,346,74,1,0,1,0,9,3,benign
78.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,35,0,0,0,0,0,0,benign
79.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,51,1,0,0,0,1,0,benign
8.json,0,0,1,16,0,0,0,96,57,0,0,2,0,0,0,0,0,203,83,1,0,0,0,1,0,benign
80.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,32,1,0,0,0,2,2,benign
81.json,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,71,3,0,0,0,7,3,malicious
82.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,benign
83.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,39,0,0,0,0,2,2,benign
